"rt","key_press","time_elapsed","olife","demographics","chosRoomID","chosRoomProb","chosRoomRews","chosRoomPlay","unchosRoomID","unchosRoomProb","unchosRoomRews","unchosRoomPlay","rewVal","rewCol","chosPie"
"971.7950000049314","37","56596","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","4A1,4A2","0,0.3,0.7,0.1,0.2,0.7","0,-1,1","s","10A1,10A2","0,0.6,0.4,0.07,0.2,0.73","2,1,2","a","","",""
"519.639999998617","37","58824","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","1","Blue2","4A1"
"543.180000007851","39","63080","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","1","Blue2","4A2"
"339.8999999917578","37","67130","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","1","Blue2","4A1"
"514.3850000022212","39","71358","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","-1","Green2","4A2"
"787.4749999900814","39","75857","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","4A2,4A1","0.1,0.2,0.7,0,0.3,0.7","1,-1,1","a","10A2,10A1","0.07,0.2,0.73,0,0.6,0.4","2,2,1","s","","",""
"551.0950000025332","39","78116","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","1","Blue2","4A1"
"476.20000000461005","37","82309","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","1","Blue2","4A2"
"489.2649999965215","39","86510","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","1","Blue2","4A1"
"410.8249999990221","37","90632","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","-1","Green2","4A2"
"1981.8250000098487","37","96328","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","4B1,4B2","0.3,0.7,0,0.2,0.7,0.1","1,2,1","a","15B1,15B2","0.7,0.3,0,0.2,0.7,0.1","1,2,-1","s","","",""
"1627.8149999998277","39","99667","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","2","Green2","4B2"
"315.78999999328516","37","103697","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","2","Green2","4B1"
"527.5199999887263","37","107936","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","2","Green2","4B1"
"1733.5000000020955","37","114429","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","2","Green2","4B1"
"708.6700000072597","39","118852","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","20A1,20A2","0,0.78,0.22,0.15,0.2,0.65","-1,2,-1","s","15A1,15A2","0,0.7,0.3,0.1,0.2,0.7","3,-1,1","s","","",""
"1024.0749999938998","39","121588","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","2","Green2","20A2"
"632.1350000071106","39","125939","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","-1","Red2","20A2"
"388.1649999966612","39","130043","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","-1","Blue2","20A2"
"714.3900000082795","37","134470","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","-1","Blue2","20A1"
"1805.675000010524","37","139989","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","20A1,20A2","0,0.78,0.22,0.15,0.2,0.65","-1,2,-1","s","15A1,15A2","0,0.7,0.3,0.1,0.2,0.7","-1,-2,1","a","","",""
"510.32000000122935","37","142209","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","2","Green2","20A1"
"927.0449999894481","37","146850","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","-1","Blue2","20A1"
"535.2099999872735","39","151096","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","-1","Blue2","20A2"
"1107.8149999957532","39","155923","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","-1","Red2","20A2"
"1231.6200000059325","37","160868","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","4B1,4B2","0.3,0.7,0,0.2,0.7,0.1","1,2,1","a","20B1,20B2","0.78,0.22,0,0.2,0.65,0.15","0,1,-1","s","","",""
"514.9450000026263","37","163097","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","1","Red2","4B1"
"652.1849999990081","39","167460","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","2","Green2","4B2"
"531.154999989667","37","171703","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","2","Green2","4B1"
"330.57499999995343","39","175752","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","2","Green2","4B2"
"721.2450000079116","39","180188","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","4B1,4B2","0.3,0.7,0,0.2,0.7,0.1","1,2,1","a","10B1,10B2","0.6,0.4,0,0.2,0.73,0.07","-1,1,1","a","","",""
"595.1199999981327","39","182494","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","1","Blue2","4B2"
"408.3949999912875","37","186619","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","1","Red2","4B1"
"366.67999999190215","39","190704","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","2","Green2","4B2"
"362.7100000012433","37","194778","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","1","Blue2","4B1"
"385.8849999960512","37","198879","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","4B1,4B2","0.3,0.7,0,0.2,0.7,0.1","1,2,1","a","10B1,10B2","0.6,0.4,0,0.2,0.73,0.07","1,-1,1","s","","",""
"411.29999999247957","39","200994","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","2","Green2","4B2"
"561.8950000061886","37","205272","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","1","Red2","4B1"
"375.1250000059372","39","209360","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","2","Green2","4B2"
"423.6349999991944","37","213498","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","2","Green2","4B1"
"554.8249999992549","39","217767","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","4A2,4A1","0.1,0.2,0.7,0,0.3,0.7","1,-1,1","a","20A2,20A1","0.15,0.2,0.65,0,0.78,0.22","-1,2,-1","s","","",""
"457.11000000301283","37","219933","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","1","Blue2","4A2"
"402.5699999911012","39","224048","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","1","Blue2","4A1"
"1484.1149999992922","37","229244","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","-1","Green2","4A2"
"591.5200000017649","39","233550","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","-1","Green2","4A1"
"1687.2199999925215","39","238948","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","4A1,4A2","0,0.3,0.7,0.1,0.2,0.7","0,-1,1","s","20A1,20A2","0,0.78,0.22,0.15,0.2,0.65","-1,2,1","s","","",""
"266.6949999984354","37","240921","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","1","Blue2","4A1"
"402.459999997518","37","245040","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","-1","Green2","4A1"
"365.7299999904353","37","249123","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","1","Blue2","4A1"
"238.7999999918975","37","253077","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","-1","Green2","4A1"
"480.3050000045914","37","257270","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","4A2,4A1","0.1,0.2,0.7,0,0.3,0.7","1,-1,1","a","10A2,10A1","0.07,0.2,0.73,0,0.6,0.4","2,1,2","a","","",""
"702.1449999883771","39","259684","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","1","Red2","4A1"
"614.2950000066776","37","264018","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","1","Blue2","4A2"
"425.45500000414904","39","268157","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","-1","Green2","4A1"
"369.8300000105519","37","272246","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","-1","Green2","4A2"
"1152.2100000001956","37","277114","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","4A1,4A2","0,0.3,0.7,0.1,0.2,0.7","0,-1,1","s","15A1,15A2","0,0.7,0.3,0.1,0.2,0.7","-1,-2,1","a","","",""
"434.61999999999534","37","279257","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","1","Blue2","4A1"
"434.5349999930477","37","283406","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","1","Blue2","4A1"
"312.90000000444707","37","287429","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","-1","Green2","4A1"
"500.3650000144262","39","291641","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","1","Blue2","4A2"
"742.1850000100676","37","296096","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","10B2,10B1","0.2,0.73,0.07,0.6,0.4,0","1,-1,1","a","20B2,20B1","0.2,0.65,0.15,0.78,0.22,0","1,0,0","s","","",""
"455.19000000786036","39","298257","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","1","Red2","10B1"
"413.8749999983702","37","302386","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","-1","Green2","10B2"
"313.17999999737367","37","306412","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","-1","Green2","10B2"
"1771.9700000016019","37","314884","1/,1/,2/,1/,1/,1/,1/,1/,2/,2/,1/,2/,2/,1/,2/,1/,2/,1/,2/,2/,2/,1/,1/,1/,1/,1/,1/,2/,2/,1/,1/,2/,1/,1/,2/,1/,2/,2/,2/,2/,2/,2/,1/","1,1,2,32","","","","","","","","","1","Red2","10B2"
